figmaVariableName,mode,value,type,alias,defaultMode
palettes/palette-2/500/color/on-tone,Light,brand/palettes/core-colors/white/on-tone,COLOR,true,true
palettes/palette-2/600/color/tone,Light,tokens/colors/cornflower/600,COLOR,true,true
palettes/palette-2/600/color/on-tone,Light,brand/palettes/core-colors/white/on-tone,COLOR,true,true
palettes/palette-2/700/color/tone,Light,tokens/colors/cornflower/700,COLOR,true,true
palettes/palette-2/700/color/on-tone,Light,brand/palettes/core-colors/white/on-tone,COLOR,true,true
palettes/palette-2/800/color/tone,Light,tokens/colors/cornflower/800,COLOR,true,true
palettes/palette-2/800/color/on-tone,Light,brand/palettes/core-colors/white/on-tone,COLOR,true,true
palettes/palette-2/900/color/tone,Light,tokens/colors/cornflower/900,COLOR,true,true
palettes/palette-2/900/color/on-tone,Light,brand/palettes/core-colors/white/on-tone,COLOR,true,true
palettes/palette-2/1000/color/tone,Light,tokens/colors/cornflower/1000,COLOR,true,true
palettes/palette-2/1000/color/on-tone,Light,brand/palettes/core-colors/white/on-tone,COLOR,true,true
palettes/palette-2/default,Light,brand/palettes/palette-2/400/color/tone,STRING,true,true
palettes/palette-2/000/color/tone,Light,tokens/colors/cornflower/000,COLOR,true,true
palettes/palette-2/000/color/on-tone,Light,brand/palettes/core-colors/black/on-tone,COLOR,true,true
palettes/palette-2/050/color/tone,Light,tokens/colors/cornflower/050,COLOR,true,true
palettes/palette-2/050/color/on-tone,Light,brand/palettes/core-colors/black/on-tone,COLOR,true,true
palettes/core-colors/black/tone,Light,tokens/colors/gray/1000,COLOR,true,true
palettes/core-colors/black/on-tone,Light,brand/palettes/core-colors/white/on-tone,COLOR,true,true
palettes/core-colors/black/interactive,Light,tokens/colors/mandy/300,COLOR,true,true
palettes/core-colors/white/tone,Light,tokens/colors/gray/000,COLOR,true,true
palettes/core-colors/white/on-tone,Light,brand/palettes/core-colors/black/on-tone,COLOR,true,true
palettes/core-colors/white/interactive,Light,tokens/colors/mandy/500,COLOR,true,true
palettes/core-colors/alert/tone,Light,tokens/colors/mandy/600,COLOR,true,true
palettes/core-colors/alert/on-tone,Light,brand/palettes/core-colors/white/on-tone,COLOR,true,true
palettes/core-colors/alert/interactive,Light,tokens/colors/mandy/050,COLOR,true,true
palettes/core-colors/success/tone,Light,tokens/colors/greensheen/600,COLOR,true,true
palettes/core-colors/success/on-tone,Light,brand/palettes/core-colors/white/on-tone,COLOR,true,true
palettes/core-colors/success/interactive,Light,tokens/colors/mandy/050,COLOR,true,true
palettes/core-colors/warning/tone,Light,tokens/colors/mandarin/600,COLOR,true,true
palettes/core-colors/warning/on-tone,Light,tokens/colors/mandy/900,COLOR,true,true
palettes/core-colors/warning/interactive,Light,tokens/colors/mandy/900,COLOR,true,true
palettes/core-colors/interactive/default/tone,Light,tokens/colors/mandy/500,COLOR,true,true
palettes/core-colors/interactive/default/on-tone,Light,brand/palettes/core-colors/white/on-tone,COLOR,true,true
palettes/core-colors/interactive/hover/tone,Light,tokens/colors/mandy/600,COLOR,true,true
palettes/core-colors/interactive/hover/on-tone,Light,brand/palettes/core-colors/white/on-tone,COLOR,true,true
elevations/elevation-0,Light,"{""x"":{""$value"":{""value"":0,""unit"":""px""},""$type"":""number""},""y"":{""$value"":{""value"":0,""unit"":""px""},""$type"":""number""},""blur"":{""$value"":{""value"":0,""unit"":""px""},""$type"":""number""},""spread"":{""$value"":{""value"":0,""unit"":""px""},""$type"":""number""},""color"":{""$value"":""{brand.palettes.neutral.default.color.tone}"",""$type"":""color""},""opacity"":{""$value"":{""value"":0,""unit"":""percentage""},""$type"":""number""}}",STRING,false,true
elevations/elevation-1,Light,"{""x"":{""$value"":{""value"":0,""unit"":""px""},""$type"":""number""},""y"":{""$value"":{""value"":2,""unit"":""px""},""$type"":""number""},""blur"":{""$value"":{""value"":4,""unit"":""px""},""$type"":""number""},""spread"":{""$value"":{""value"":0,""unit"":""px""},""$type"":""number""},""color"":{""$value"":""{brand.palettes.neutral.default.color.tone}"",""$type"":""color""},""opacity"":{""$value"":{""value"":10,""unit"":""percentage""},""$type"":""number""}}",STRING,false,true
elevations/elevation-2,Light,"{""x"":{""$value"":{""value"":0,""unit"":""px""},""$type"":""number""},""y"":{""$value"":{""value"":4,""unit"":""px""},""$type"":""number""},""blur"":{""$value"":{""value"":8,""unit"":""px""},""$type"":""number""},""spread"":{""$value"":{""value"":0,""unit"":""px""},""$type"":""number""},""color"":{""$value"":""{brand.palettes.neutral.default.color.tone}"",""$type"":""color""},""opacity"":{""$value"":{""value"":10,""unit"":""percentage""},""$type"":""number""}}",STRING,false,true
elevations/elevation-3,Light,"{""x"":{""$value"":{""value"":0,""unit"":""px""},""$type"":""number""},""y"":{""$value"":{""value"":8,""unit"":""px""},""$type"":""number""},""blur"":{""$value"":{""value"":16,""unit"":""px""},""$type"":""number""},""spread"":{""$value"":{""value"":0,""unit"":""px""},""$type"":""number""},""color"":{""$value"":""{brand.palettes.neutral.default.color.tone}"",""$type"":""color""},""opacity"":{""$value"":{""value"":10,""unit"":""percentage""},""$type"":""number""}}",STRING,false,true
