figmaVariableName,mode,value,type,alias,defaultMode
components/avatar/variants/sizes/small/properties/size,2,32,FLOAT,false,false
components/avatar/variants/sizes/small/properties/size,3,32,FLOAT,false,false
components/avatar/variants/sizes/small/properties/text/font-family,0,tokens/font/typefaces/primary,STRING,true,true
components/avatar/variants/sizes/small/properties/text/font-family,1,tokens/font/typefaces/primary,STRING,true,false
components/avatar/variants/sizes/small/properties/text/font-family,2,tokens/font/typefaces/primary,STRING,true,false
components/avatar/variants/sizes/small/properties/text/font-family,3,tokens/font/typefaces/primary,STRING,true,false
components/avatar/variants/sizes/small/properties/text/font-size,0,tokens/font/sizes/xs,FLOAT,true,true
components/avatar/variants/sizes/small/properties/text/font-size,1,tokens/font/sizes/xs,FLOAT,true,false
components/avatar/variants/sizes/small/properties/text/font-size,2,tokens/font/sizes/xs,FLOAT,true,false
components/avatar/variants/sizes/small/properties/text/font-size,3,tokens/font/sizes/xs,FLOAT,true,false
components/avatar/variants/sizes/small/properties/text/font-weight,0,tokens/font/weights/regular,FLOAT,true,true
components/avatar/variants/sizes/small/properties/text/font-weight,1,tokens/font/weights/regular,FLOAT,true,false
components/avatar/variants/sizes/small/properties/text/font-weight,2,tokens/font/weights/regular,FLOAT,true,false
components/avatar/variants/sizes/small/properties/text/font-weight,3,tokens/font/weights/regular,FLOAT,true,false
components/avatar/variants/sizes/small/properties/text/letter-spacing,0,tokens/font/letter-spacings/default,STRING,true,true
components/avatar/variants/sizes/small/properties/text/letter-spacing,1,tokens/font/letter-spacings/default,STRING,true,false
components/avatar/variants/sizes/small/properties/text/letter-spacing,2,tokens/font/letter-spacings/default,STRING,true,false
components/avatar/variants/sizes/small/properties/text/letter-spacing,3,tokens/font/letter-spacings/default,STRING,true,false
components/avatar/variants/sizes/small/properties/text/line-height,0,tokens/font/line-heights/default,FLOAT,true,true
components/avatar/variants/sizes/small/properties/text/line-height,1,tokens/font/line-heights/default,FLOAT,true,false
components/avatar/variants/sizes/small/properties/text/line-height,2,tokens/font/line-heights/default,FLOAT,true,false
components/avatar/variants/sizes/small/properties/text/line-height,3,tokens/font/line-heights/default,FLOAT,true,false
components/avatar/variants/sizes/small/properties/text/text-decoration,0,none,STRING,false,true
components/avatar/variants/sizes/small/properties/text/text-decoration,1,none,STRING,false,false
components/avatar/variants/sizes/small/properties/text/text-decoration,2,none,STRING,false,false
components/avatar/variants/sizes/small/properties/text/text-decoration,3,none,STRING,false,false
components/avatar/variants/sizes/small/properties/text/text-transform,0,none,STRING,false,true
components/avatar/variants/sizes/small/properties/text/text-transform,1,none,STRING,false,false
