collection,figmaVariableName,mode,value,type,alias,defaultMode
layer,components/number-input/properties/text/text-decoration,3,none,STRING,false,false
layer,components/number-input/properties/text/text-transform,0,none,STRING,false,true
layer,components/number-input/properties/text/text-transform,1,none,STRING,false,false
layer,components/number-input/properties/text/text-transform,2,none,STRING,false,false
layer,components/number-input/properties/text/text-transform,3,none,STRING,false,false
layer,components/number-input/properties/text/font-style,0,normal,STRING,false,true
layer,components/number-input/properties/text/font-style,1,normal,STRING,false,false
layer,components/number-input/properties/text/font-style,2,normal,STRING,false,false
layer,components/number-input/properties/text/font-style,3,normal,STRING,false,false
layer,components/number-input/properties/placeholder-opacity,0,tokens/opacities/ghost,FLOAT,true,true
layer,components/number-input/properties/placeholder-opacity,1,tokens/opacities/ghost,FLOAT,true,false
layer,components/number-input/properties/placeholder-opacity,2,tokens/opacities/ghost,FLOAT,true,false
layer,components/number-input/properties/placeholder-opacity,3,tokens/opacities/ghost,FLOAT,true,false
layer,components/dropdown/variants/states/default/properties/colors/background,0,ui-kit/globals/form/field/colors/background,COLOR,true,true
layer,components/dropdown/variants/states/default/properties/colors/background,1,ui-kit/globals/form/field/colors/background,COLOR,true,false
layer,components/dropdown/variants/states/default/properties/colors/background,2,ui-kit/globals/form/field/colors/background,COLOR,true,false
layer,components/dropdown/variants/states/default/properties/colors/background,3,ui-kit/globals/form/field/colors/background,COLOR,true,false
layer,components/dropdown/variants/states/default/properties/colors/text,0,ui-kit/globals/form/field/colors/text-valued,COLOR,true,true
layer,components/dropdown/variants/states/default/properties/colors/text,1,ui-kit/globals/form/field/colors/text-valued,COLOR,true,false
layer,components/dropdown/variants/states/default/properties/colors/text,2,ui-kit/globals/form/field/colors/text-valued,COLOR,true,false
layer,components/dropdown/variants/states/default/properties/colors/text,3,ui-kit/globals/form/field/colors/text-valued,COLOR,true,false
layer,components/dropdown/variants/states/default/properties/colors/leading-icon,0,ui-kit/globals/form/field/colors/icon,COLOR,true,true
layer,components/dropdown/variants/states/default/properties/colors/leading-icon,1,ui-kit/globals/form/field/colors/icon,COLOR,true,false
layer,components/dropdown/variants/states/default/properties/colors/leading-icon,2,ui-kit/globals/form/field/colors/icon,COLOR,true,false
layer,components/dropdown/variants/states/default/properties/colors/leading-icon,3,ui-kit/globals/form/field/colors/icon,COLOR,true,false
layer,components/dropdown/variants/states/default/properties/colors/trailing-icon,0,ui-kit/globals/form/field/colors/icon,COLOR,true,true
layer,components/dropdown/variants/states/default/properties/colors/trailing-icon,1,ui-kit/globals/form/field/colors/icon,COLOR,true,false
layer,components/dropdown/variants/states/default/properties/colors/trailing-icon,2,ui-kit/globals/form/field/colors/icon,COLOR,true,false
layer,components/dropdown/variants/states/default/properties/colors/trailing-icon,3,ui-kit/globals/form/field/colors/icon,COLOR,true,false
layer,components/dropdown/variants/states/default/properties/colors/border-color,0,ui-kit/globals/form/field/colors/border,COLOR,true,true
layer,components/dropdown/variants/states/default/properties/colors/border-color,1,ui-kit/globals/form/field/colors/border,COLOR,true,false
layer,components/dropdown/variants/states/default/properties/colors/border-color,2,ui-kit/globals/form/field/colors/border,COLOR,true,false
layer,components/dropdown/variants/states/default/properties/colors/border-color,3,ui-kit/globals/form/field/colors/border,COLOR,true,false
layer,components/dropdown/variants/states/default/properties/border-size,0,1,FLOAT,false,true
layer,components/dropdown/variants/states/default/properties/border-size,1,1,FLOAT,false,false
